Customer_ID,Name,Email,Phone,Age,Gender,Income,Customer_Segment
37249,Michelle Harrington,Ebony39@gmail.com,1414786801,21,Male,Low,Regular
69749,Kelsey Hill,Mark36@gmail.com,6852899987,19,Female,Low,Premium
30192,Scott Jensen,Shane85@gmail.com,8362160449,48,Male,Low,Regular
62101,Joseph Miller,Mary34@gmail.com,2776751724,56,Male,High,Premium
27901,Debra Coleman,Charles30@gmail.com,9098267635,22,Male,Low,Premium
41289,Ryan Johnson,Haley12@gmail.com,3292677006,58,Female,Medium,Premium
97285,Erin Lewis,Arthur76@gmail.com,1578355423,29,Female,Low,New
26603,Angela Fields,Tanya94@gmail.com,3668096144,29,Male,Medium,Premium
80175,Diane Clark,Martin39@gmail.com,6219779557,46,Male,Medium,New
31878,Lori Bell,Jessica33@gmail.com,6004895059,25,Male,Medium,New
19136,Jonathan Eaton,Mark38@gmail.com,2996714102,64,Female,Low,Regular
66883,Brianna Oconnor,David47@gmail.com,9398168800,31,Female,Medium,Regular
31930,Kristine Williams,Charles29@gmail.com,1822767586,56,Female,Medium,Regular
74671,Felicia Brown,Laura72@gmail.com,8869644441,53,Female,Medium,Regular
98300,Andrew Guzman,Eric76@gmail.com,2923044936,32,Female,High,Regular
64995,Justin Lara,Jacob26@gmail.com,2683281702,43,Male,Medium,Regular
69939,Jessica Harrison,Anne45@gmail.com,2540232555,69,Male,Low,Regular
71803,Alicia Knight,Jennifer1@gmail.com,6262218202,19,Female,High,Regular
78376,Ronald Chen,Nicole72@gmail.com,1796133281,49,Male,Low,Regular
40654,Sara Rogers,Jeff99@gmail.com,2687947826,69,Male,Low,Regular
42165,Daniel Hutchinson,Oscar54@gmail.com,9604443902,46,Male,Low,Regular
63914,Joshua Noble,Diana25@gmail.com,5383491869,61,Male,High,Regular
42410,Anthony Rodriguez,Paula49@gmail.com,3745118170,21,Female,Low,Regular
48869,Ashley Watson,Christine23@gmail.com,3296155904,41,Female,Low,Regular
99870,Timothy Benton,Thomas4@gmail.com,4754633123,38,Male,Medium,Regular
47037,Mike Christensen,Olivia95@gmail.com,3605880512,59,Male,High,Regular
28381,Kimberly Evans,Claire78@gmail.com,8215497648,20,Male,High,Regular
23097,Michael Cole,Rachel75@gmail.com,6487484685,67,Male,Low,Regular
42540,Robin Jackson,James3@gmail.com,4258351481,43,Male,Medium,Regular
55388,Yolanda Martin,Emily94@gmail.com,2450716315,50,Male,Medium,Regular
98256,Steven Boyd,Sheryl18@gmail.com,5248581519,26,Female,Low,Regular
90935,Raymond Avila,Christopher4@gmail.com,4298839653,56,Female,Low,Regular
65701,Christopher Lopez,Derrick51@gmail.com,9286274243,66,Male,Medium,Regular
23713,Brent Gonzalez,Steven94@gmail.com,4886316564,31,Male,Low,Regular
66911,Anne Dominguez,Christian61@gmail.com,9654611085,24,Female,Low,Regular
38517,Todd Jackson,Daniel66@gmail.com,6019608363,54,Male,Low,Regular
65305,Jonathan Jenkins,Christina19@gmail.com,8524180606,19,Male,High,Regular
31767,Brittany Ross,Lindsey16@gmail.com,3325233576,28,Male,High,Regular
30637,Mike Orozco,Kimberly48@gmail.com,8321157649,34,Female,High,Regular
96840,Susan Thomas,Bonnie80@gmail.com,9540868010,65,Male,Low,Regular
25848,Emma Palmer,Lisa7@gmail.com,8200797318,40,Male,High,Regular
91172,Amanda Decker,Heather92@gmail.com,8187509611,64,Female,High,Regular
77572,Jose Spencer,Amber67@gmail.com,8282194753,68,Female,High,Regular
46361,Priscilla Wiggins,Patricia51@gmail.com,3936281494,46,Male,High,Regular
62464,Michele Johnson,Melissa70@gmail.com,1946509510,58,Female,High,Regular
74096,Robert Warren,Hannah73@gmail.com,1223810454,36,Male,Low,Regular
21399,Mario Smith,Joshua69@gmail.com,2206920632,57,Male,High,Regular
39757,Lauren Hayes,Haley88@gmail.com,5845365608,27,Female,Medium,Regular
90189,Maria Tucker,Amber14@gmail.com,1967923713,35,Female,Medium,Regular
86575,Derek Green,Sara74@gmail.com,8380306730,57,Female,Medium,Regular
19303,Rachel Hobbs,Daniel23@gmail.com,4797743217,36,Male,Low,Regular
12911,Chelsea Cummings,Daniel55@gmail.com,9050662623,69,Male,High,Regular
71257,Bryan Edwards,Gregory3@gmail.com,8840187601,59,Male,High,Regular
75456,Christopher Burgess,Tonya57@gmail.com,7162191577,38,Female,High,Regular
50574,James Church,Andrew57@gmail.com,8003867018,46,Male,Low,Regular
81200,Tony Moon,Brandon73@gmail.com,2088509822,24,Male,Medium,Regular
21381,Stanley Quinn,April67@gmail.com,5514223595,67,Male,Medium,Regular
71121,Heather Sloan,Taylor13@gmail.com,6417356036,54,Female,High,Regular
64722,Richard Morales,Elizabeth40@gmail.com,3731576483,68,Male,Medium,Regular
59819,Christina Snow,Wendy95@gmail.com,1467710063,29,Male,Medium,Regular
57742,Lisa Tyler,John63@gmail.com,8205826469,26,Male,Low,Regular
80071,Patricia Reese,Stephanie24@gmail.com,7797823025,41,Female,Low,Regular
97683,Dr. Chad Lindsey,Kelsey82@gmail.com,6566997489,31,Female,Low,Regular
51980,Victoria Short,Jessica97@gmail.com,7387148594,34,Female,High,Regular
11397,Tracy Baxter,Richard53@gmail.com,2810644301,29,Female,Low,Regular
35966,Jennifer Wright,Michael69@gmail.com,4332303526,69,Male,Low,Regular
95925,Jesus Cole,Margaret59@gmail.com,5224669316,58,Male,Medium,Regular
56726,Scott Sampson II,Zachary50@gmail.com,2852994101,38,Male,Medium,Regular
87729,Karen Short,Dominique52@gmail.com,6706684033,25,Female,Medium,Regular
49952,Joseph Pearson,Brianna8@gmail.com,4766173039,26,Female,Medium,Regular
79052,Richard Hodge,Melissa21@gmail.com,3805088849,57,Female,High,Regular
90837,Charles Rogers,Anthony26@gmail.com,2188816563,70,Male,Low,Regular
20500,Matthew Hicks,Kara43@gmail.com,1568421682,61,Female,Medium,Regular
63629,Mary Lawson,Kelly99@gmail.com,2830391284,37,Female,Low,Regular
71053,Suzanne Thompson,Erica91@gmail.com,5138785707,34,Female,Medium,Regular
73823,Sarah Chase,Amber47@gmail.com,9335433668,19,Female,Medium,Regular
28956,Christopher Adams,Jason63@gmail.com,4427078263,43,Female,Low,Regular
21444,Robert Perez,Robert89@gmail.com,8214017258,30,Male,Medium,Regular
68648,Dennis Johnson,Tom90@gmail.com,3891012895,35,Male,Low,Regular
50100,Penny Harris,Sarah100@gmail.com,9213637832,54,Female,Low,Regular
65961,Erik Medina,Amanda64@gmail.com,8035994598,39,Male,High,Regular
70067,Ashley Adams,Danielle47@gmail.com,8168167767,56,Male,High,Regular
31581,Meredith James,Shannon57@gmail.com,3951850656,25,Female,Low,Regular
12604,Derek Patrick,Lori70@gmail.com,2817666105,47,Male,Low,Regular
55594,Tara Hawkins,Melvin34@gmail.com,7609311698,41,Male,Low,Regular
98788,Zachary Smith,Monica62@gmail.com,4599588263,29,Male,Medium,Regular
59411,Daniel Thompson,Lori61@gmail.com,7504846879,61,Male,Low,Regular
67690,Mark Lee,Michael54@gmail.com,9780172180,35,Female,Medium,Regular
96720,Robert Torres,Monica6@gmail.com,1113123915,59,Male,Medium,Regular
28489,Julia Dodson,Kaitlin36@gmail.com,6363334046,43,Male,Medium,Regular
22945,Jessica Burke,John100@gmail.com,6315925303,26,Female,Medium,Regular
15757,Mr. Evan Sutton,Jasmine27@gmail.com,9419010843,35,Male,Medium,Regular
15983,Jamie Thompson,Michael25@gmail.com,4073525462,48,Male,Low,Regular
74649,Courtney Perry,Tina32@gmail.com,7402421885,18,Male,High,Regular
50952,Teresa Maxwell,Daniel79@gmail.com,4353493533,49,Female,Medium,Regular
51279,Roy Obrien,John3@gmail.com,9379457412,60,Male,Low,Regular
70655,Renee Banks,Cassandra10@gmail.com,1240946835,20,Male,Medium,Regular
93615,Linda Spencer DVM,Casey5@gmail.com,3599888358,35,Male,Low,Regular
86785,Todd Hernandez,Randy87@gmail.com,3446116291,33,Female,Medium,Regular
14549,Danielle Bennett,James20@gmail.com,2200037745,62,Female,Medium,Regular
94652,Elizabeth Fisher,Joseph95@gmail.com,3048742039,19,Male,Medium,Regular
67949,Martin Giles,Jonathan55@gmail.com,3221151529,54,Male,Medium,Regular
38862,Nicholas Nelson,Anthony86@gmail.com,8495017152,50,Female,Low,Regular
13566,Maria Johnson,Marilyn60@gmail.com,8747748872,26,Female,Low,Regular
72626,Daniel Morgan,Jacob10@gmail.com,9934928420,58,Male,Medium,Regular
45610,Sarah Lewis,Dale68@gmail.com,2252106373,47,Female,Medium,Regular
45455,Katherine Stuart,Megan75@gmail.com,9676430146,35,Female,Low,Regular
72079,Diana Thomas,Shane69@gmail.com,2142413521,25,Male,Low,Regular
26736,Danielle May,Darrell77@gmail.com,3065136145,67,Female,Medium,Regular
47846,Mary Kim,Katherine73@gmail.com,3268643153,65,Male,Low,Regular
77875,Monica Peterson,Frederick4@gmail.com,5191926327,65,Male,Medium,Regular
95547,Sarah Li,Roger41@gmail.com,5326175928,30,Male,High,Regular
50126,Brianna Murray,Anthony39@gmail.com,1148388458,32,Female,Low,Regular
67530,Mathew Fitzgerald,Erik18@gmail.com,Not Provided,50,Male,Low,Regular
55159,Ellen Simpson,Tiffany30@gmail.com,3133334228,50,Male,Medium,Regular
50555,Steven Riddle,Thomas97@gmail.com,2470177640,68,Male,Low,Regular
21352,Denise Ellison,Brian49@gmail.com,2540594145,42,Male,Low,Regular
28128,Mark Frazier,Alexis30@gmail.com,2189796179,65,Male,Low,Regular
41336,Nathan Estrada,Jill65@gmail.com,3449233465,57,Male,Medium,Regular
96814,Michelle Bright,Jose43@gmail.com,6435150270,27,Male,High,Regular
95592,Carlos Stanley,Tonya20@gmail.com,8530902035,41,Male,Low,Regular
90603,Kristen Vazquez,Samantha66@gmail.com,5970318153,56,Female,High,Regular
88294,Rhonda Parsons,Gary99@gmail.com,6597516336,64,Male,Medium,Regular
47748,Alexis Smith,Karen91@gmail.com,9388217725,39,Male,Medium,Regular
84982,Sylvia Garcia,Gabrielle13@gmail.com,8358660998,68,Female,Low,Regular
31054,Judy Green,Travis60@gmail.com,6738409426,56,Female,Medium,Regular
27353,Mrs. Maria Patrick,Sarah54@gmail.com,6912552655,60,Female,Low,Regular
52641,Andrea Martin,Todd60@gmail.com,3834526059,48,Male,High,Regular
71681,Kyle Moreno,Alex72@gmail.com,3373095522,49,Male,Medium,Regular
65334,Sherri Chambers,Emily43@gmail.com,1477984670,32,Female,Medium,Regular
83016,Shannon Lopez MD,Erin3@gmail.com,8322254249,32,Female,Low,Regular
40624,Trevor Walker,Tyler30@gmail.com,1360625946,18,Male,Medium,Regular
66428,Jacob Arnold,Lawrence24@gmail.com,2100695530,48,Female,Medium,Regular
34145,Matthew Brown,Dawn85@gmail.com,1930731619,69,Male,Medium,Regular
13629,Erica Humphrey,Adrienne73@gmail.com,8678953610,48,Male,Medium,Regular
26940,Zachary Abbott,Jonathan81@gmail.com,1660611739,68,Male,Medium,Regular
73735,Kathleen Garcia,Randy29@gmail.com,6374505488,58,Male,Medium,Regular
96811,Sarah Harris,Melissa41@gmail.com,3781672719,44,Female,Medium,Regular
50056,Sheryl Smith,Dwayne48@gmail.com,6139562938,60,Male,Low,Regular
41835,Christine Green PhD,Stephen32@gmail.com,8694292782,33,Female,Low,Regular
89815,Richard Diaz,Steve5@gmail.com,3221780424,26,Male,Low,Regular
84806,George Salazar,Kelly57@gmail.com,7827977052,60,Female,Medium,Regular
14196,Michael Perkins,Tabitha57@gmail.com,8979005491,37,Male,High,Regular
11602,Elizabeth Jones,Amanda29@gmail.com,9120932188,37,Male,Low,Regular
40667,Elijah Yoder,Misty14@gmail.com,6654567820,66,Male,Medium,Regular
12223,Michael Howe,Michael14@gmail.com,7829418212,46,Male,High,Regular
92174,Whitney Adams,David85@gmail.com,7663483087,29,Male,Medium,Regular
70193,Alexis Carlson,Tamara14@gmail.com,7475610720,38,Female,Medium,Regular
37748,Teresa West,John68@gmail.com,1466610999,39,Male,Low,Regular
46908,Kimberly Jordan,John73@gmail.com,6105110623,54,Male,Medium,Regular
72950,Gregory Bates,Gerald65@gmail.com,7785499928,51,Female,Low,Regular
78960,Kyle Odom,Daniel67@gmail.com,1133304058,57,Female,Medium,Regular
97201,Daniel Myers,Ryan95@gmail.com,7298270465,58,Male,Medium,Regular
37351,Rachel Robinson,Traci4@gmail.com,7880689078,46,Male,Medium,Regular
73668,John Carpenter,Jose48@gmail.com,4692455252,18,Male,Low,Regular
93072,Brandy Cruz,David58@gmail.com,8167796506,46,Male,Low,Regular
44073,David James,Jennifer95@gmail.com,2337436974,70,Female,Medium,Regular
33277,Michael Curtis,Christine91@gmail.com,9498766759,68,Male,Medium,Regular
89211,Derrick Baker,Andrea94@gmail.com,8760164464,27,Female,Medium,Regular
45413,Lauren Johnson,Lisa82@gmail.com,1816016808,63,Male,Medium,Regular
75644,Nicole Fisher,Breanna80@gmail.com,5778422432,55,Male,Medium,Regular
